Values
3754743
3794881
3662778
3752036
3784644
3838367
3906019
3785578
3741885
3788725
3721786
3785946
3745357
3763255
3743373
3753459
3787418
3816260
3755713
3728589
3776437
3871810
3711278
3752897
3810223
3707312
3814891
3702645
3765825
3829345
3785731
3792378
3924990
3755500
3712450
3742126
3703369
3741482
3781216
3832652
3732373
3807775
3766727
3745430
3783871
3796917
3810681
3760376
3856929
3692650
